audit_rank,candidate_id,final_score,title,company,yoe,location,country,notice,hard_req_cov,production,honeypot_score,disqualifier_penalty,summary
27,CAND_0083879,0.9996,Machine Learning Engineer,Ola,7.1,"Noida, Uttar Pradesh",India,30,0.45,0.784,1.0,1.0,"Machine learning engineer with 7.1 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
28,CAND_0052328,0.9996,Recommendation Systems Engineer,Amazon,6.5,"Pune, Maharashtra",India,30,0.574,0.64,1.0,1.0,"Machine learning engineer with 6.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
29,CAND_0070398,0.9996,Machine Learning Engineer,Genpact AI,7.2,"Kochi, Kerala",India,120,0.642,0.784,1.0,1.0,"Machine learning engineer with 7.2 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
30,CAND_0075249,0.9996,Applied ML Engineer,Zomato,6.2,"Ahmedabad, Gujarat",India,45,0.552,0.784,1.0,1.0,"Machine learning engineer with 6.2 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
31,CAND_0075574,0.9996,Machine Learning Engineer,Haptik,5.7,"Bangalore, Karnataka",India,60,0.567,0.784,1.0,1.0,"Machine learning engineer with 5.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
32,CAND_0088025,0.9996,Staff Machine Learning Engineer,Yellow.ai,8.6,"Jaipur, Rajasthan",India,90,0.542,0.784,1.0,1.0,"Senior AI engineer with 8.6 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval "
33,CAND_0050876,0.9996,Applied ML Engineer,Freshworks,6.0,"Kolkata, West Bengal",India,90,0.448,0.784,1.0,1.0,"Machine learning engineer with 6.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
34,CAND_0083307,0.9996,Search Engineer,CRED,7.8,"Vizag, Andhra Pradesh",India,120,0.651,0.784,1.0,1.0,"Machine learning engineer with 7.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
35,CAND_0093912,0.9996,Senior Data Scientist,Razorpay,5.3,"Chandigarh, Chandigarh",India,30,0.61,0.784,1.0,1.0,"Machine learning engineer with 5.3 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
36,CAND_0039383,0.9995,Applied ML Engineer,Meesho,7.1,"Gurgaon, Haryana",India,90,0.562,0.784,1.0,1.0,"Machine learning engineer with 7.1 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
37,CAND_0066376,0.9995,Applied ML Engineer,Dream11,5.7,"Mumbai, Maharashtra",India,90,0.611,0.784,1.0,1.0,"Machine learning engineer with 5.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
38,CAND_0007009,0.9995,Recommendation Systems Engineer,Wysa,7.9,"Noida, Uttar Pradesh",India,30,0.578,0.784,1.0,1.0,"Machine learning engineer with 7.9 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
39,CAND_0077285,0.9995,Recommendation Systems Engineer,Nykaa,5.5,"Ahmedabad, Gujarat",India,60,0.56,0.784,1.0,1.0,"Machine learning engineer with 5.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
40,CAND_0053591,0.9995,AI Engineer,Ola,5.3,Toronto,Canada,60,0.607,0.784,1.0,1.0,"Machine learning engineer with 5.3 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
